% Can't open configuration file /etc/frr/vtysh.conf due to 'No such file or directory'.
AF   Destination          Nexthop         Local Label Remote Label  In Use
ipv4 1.1.1.1/32           2.2.2.2         imp-null    18                no
ipv4 1.1.1.1/32           4.4.4.4         imp-null    16                no
ipv4 1.1.1.1/32           11.11.11.11     imp-null    16                no
ipv4 2.2.2.2/32           2.2.2.2         18          imp-null         yes
ipv4 2.2.2.2/32           4.4.4.4         18          17                no
ipv4 2.2.2.2/32           11.11.11.11     18          25                no
ipv4 3.3.3.3/32           2.2.2.2         21          21                no
ipv4 3.3.3.3/32           4.4.4.4         21          24                no
ipv4 3.3.3.3/32           11.11.11.11     21          17                no
ipv4 4.4.4.4/32           2.2.2.2         23          23                no
ipv4 4.4.4.4/32           4.4.4.4         23          imp-null         yes
ipv4 4.4.4.4/32           11.11.11.11     23          18                no
ipv4 10.0.1.0/30          2.2.2.2         imp-null    16                no
ipv4 10.0.1.0/30          4.4.4.4         imp-null    18                no
ipv4 10.0.1.0/30          11.11.11.11     imp-null    imp-null          no
ipv4 10.0.1.4/30          2.2.2.2         16          imp-null         yes
ipv4 10.0.1.4/30          4.4.4.4         16          19                no
ipv4 10.0.1.4/30          11.11.11.11     16          imp-null         yes
ipv4 10.0.1.8/30          2.2.2.2         imp-null    imp-null          no
ipv4 10.0.1.8/30          4.4.4.4         imp-null    20                no
ipv4 10.0.1.8/30          11.11.11.11     imp-null    19                no
ipv4 10.0.1.12/30         2.2.2.2         imp-null    19                no
ipv4 10.0.1.12/30         4.4.4.4         imp-null    21                no
ipv4 10.0.1.12/30         11.11.11.11     imp-null    20                no
ipv4 10.0.1.16/30         2.2.2.2         imp-null    20                no
ipv4 10.0.1.16/30         4.4.4.4         imp-null    imp-null          no
ipv4 10.0.1.16/30         11.11.11.11     imp-null    21                no
ipv4 10.0.1.20/30         2.2.2.2         19          imp-null         yes
ipv4 10.0.1.20/30         4.4.4.4         19          22                no
ipv4 10.0.1.20/30         11.11.11.11     19          26                no
ipv4 10.0.1.24/30         2.2.2.2         20          imp-null         yes
ipv4 10.0.1.24/30         4.4.4.4         20          imp-null         yes
ipv4 10.0.1.24/30         11.11.11.11     20          27                no
ipv4 10.0.1.28/30         2.2.2.2         22          22                no
ipv4 10.0.1.28/30         4.4.4.4         22          imp-null         yes
ipv4 10.0.1.28/30         11.11.11.11     22          22                no
ipv4 10.0.2.0/30          2.2.2.2         24          24                no
ipv4 10.0.2.0/30          4.4.4.4         24          imp-null         yes
ipv4 10.0.2.0/30          11.11.11.11     24          23                no
ipv4 11.11.11.11/32       2.2.2.2         17          17                no
ipv4 11.11.11.11/32       4.4.4.4         17          23                no
ipv4 11.11.11.11/32       11.11.11.11     17          imp-null         yes
ipv4 22.22.22.22/32       2.2.2.2         25          25                no
ipv4 22.22.22.22/32       4.4.4.4         25          25               yes
ipv4 22.22.22.22/32       11.11.11.11     25          24                no
ipv4 172.20.20.0/24       2.2.2.2         imp-null    imp-null          no
ipv4 172.20.20.0/24       4.4.4.4         imp-null    imp-null          no
ipv4 172.20.20.0/24       11.11.11.11     imp-null    imp-null          no
ipv6 3fff:172:20:20::/64  0.0.0.0         imp-null    -                 no

